feature,importance
xg_efficiency_diff,0.17967974628477776
home_shot_efficiency,0.09428066473846489
home_xg_efficiency,0.07688178351414329
home_score,0.07278592802143367
away_xg_efficiency,0.0707251357725876
away_shot_efficiency,0.07069661625417034
away_score,0.06562699877511545
away_xg_ratio,0.03184440982218027
home_xg_ratio,0.026849910069364488
xg_diff,0.025660118059391026
home_xg,0.020911608807839693
away_xg,0.016138024599021538
xg_form_interaction,0.013795678763398924
total_xg,0.010953496776026816
away_away_win_rate,0.009556651058807548
home_home_win_rate,0.008996961592203923
shot_form_interaction,0.006783313693414348
form_diff,0.006381458799768805
possession_form_interaction,0.0062462241506478396
away_home_avg_shots,0.006223254632556412
home_form,0.005639790797657097
shot_accuracy_diff,0.0056374751254003605
home_shot_accuracy,0.005514444815940895
home_possession,0.005315808971939265
home_possession_ratio,0.005231414652627447
away_form,0.005156089155981513
home_away_avg_shots,0.005050914305963802
away_possession,0.0049185101046760734
form_interaction,0.004873585523332592
away_away_avg_shots,0.00486136157739466
possession_diff,0.004813709541533434
home_home_avg_possession,0.004794779575195534
home_away_avg_xg,0.004653574355215353
away_shots,0.004533760886743279
away_away_avg_possession,0.0045124243896775065
away_home_avg_possession,0.004416405193711903
away_shot_accuracy,0.0043940865400111315
home_fouls,0.004303204074255742
home_home_avg_xg,0.0041285586364798324
foul_diff,0.0041233914847334015
away_possession_ratio,0.0041186517161648705
away_home_avg_xg,0.00405096939883178
away_fouls,0.004020001077330585
shot_diff,0.003973142994971414
home_home_avg_shots,0.0039231528648856415
total_fouls,0.003796526236150459
home_away_avg_possession,0.0037810327315351273
total_shots,0.0037658074550781778
home_shots,0.003762367997962225
month,0.003506827023190246
away_shots_on_target,0.0034906615290712915
away_home_win_rate,0.0034532971174931724
home_corners,0.0034200028582267463
away_away_avg_xg,0.0032728456306621353
home_away_win_rate,0.0027351152727587004
home_shots_on_target,0.0027182577783463526
discipline_diff,0.0026966983794783385
away_corners,0.0026771805515072938
yellow_card_diff,0.0025561939535963356
weekday,0.0025506521218408144
away_yellow_cards,0.002266502276875643
home_discipline_score,0.0021031509880861574
home_yellow_cards,0.0018155553746342329
total_yellow_cards,0.001798097180448366
away_discipline_score,0.00158229756352217
is_season_start,0.0009710807954764315
is_playoff_season,0.0007370340592684001
total_red_cards,0.0006079395694402595
is_weekend,0.0005268949073063294
is_season_end,0.0004970564220634247
red_card_diff,0.0004726032406132952
home_red_cards,0.00023406248054426592
away_red_cards,0.00022706655885383454
is_derby,0.0
